start_station,end_station,line_name,line code
PE7,PTC,Punggol LRT East Loop,PEL
PW7,PTC,Punggol LRT West Loop,PWL
SE5,STC,Sengkang LRT East Loop,SEL
SW8,STC,Sengkang LRT West Loop,SWL
BP13,BP6,Bukit Panjang LRT,BPL
