ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
254,SMRT,1,TRUNK,24009,24009,07-10,08-16,08-13,13-24,Tuas Ave 11
255,SMRT,1,INDUSTRIAL,24009,24009,06-07,07-13,08-10,10-23,Gul Cres
257,SMRT,1,INDUSTRIAL,24009,24009,07-07,08-16,08-09,10-23,Pioneer Sector 2
258,SMRT,1,TRUNK,24009,24009,11-14,12-14,11-14,11-24,Jurong West St 64
300,SMRT,1,FEEDER,44009,44009,05-05,04-06,03-05,05-10,Choa Chu Kang Ave 3
301,SMRT,1,FEEDER,44009,44009,06-08,06-09,06-08,07-10,Keat Hong Cl
302,SMRT,1,FEEDER,44009,44009,03-05,04-06,04-06,06-10,Choa Chu Kang Cres
302A,SMRT,1,FEEDER,45321,45329,06-13,-,06-24,-,
307,SMRT,1,FEEDER,44009,44009,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
307,SMRT,2,FEEDER,,,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
307A,SMRT,1,FEEDER,44009,44531,10-15,10-32,10-12,10-34,Choa Chu Kang St 62
307T,SMRT,1,FEEDER,44531,44009,09-13,10-33,10-12,10-44,
405,SMRT,1,TRUNK,22009,22009,22-22,25-26,-,-,Old Choa Chu Kang Rd
502,SMRT,1,EXPRESS,22609,22609,15-15,14-21,14-22,18-22,Central Blvd
502A,SMRT,1,EXPRESS,22609,03529,20-20,-,-,-,
61,SMRT,1,TRUNK,43009,82009,07-09,09-14,10-13,10-15,
61,SMRT,2,TRUNK,82009,43009,08-13,09-15,08-15,11-15,
665,SMRT,1,CITY_LINK,46141,03218,08,-,-,-,
665,SMRT,2,CITY_LINK,03241,46149,-,-,15,-,
67,SMRT,1,TRUNK,44009,75009,08-09,08-11,10-11,09-11,
67,SMRT,2,TRUNK,75009,44009,08-09,08-11,10-12,09-10,
75,SMRT,1,TRUNK,44989,10009,08-11,10-15,15,14-15,
75,SMRT,2,TRUNK,10009,43991,11-14,09-14,08-11,12-16,
868E,SMRT,1,EXPRESS,43581,02161,15,-,-,-,
900,SMRT,1,FEEDER,46009,46009,04-05,04-06,05-06,04-10,Woodlands Ave 1
901,SMRT,1,FEEDER,46009,46009,08-09,08-10,07-09,08-20,Woodlands Ave 6
901M,SMRT,1,FEEDER,46009,46009,08-09,08-10,07-09,08-20,Woodlands Ave 7
902,SMRT,1,FEEDER,46009,46269,02-03,02-03,-,-,
903,SMRT,1,FEEDER,46009,46009,02-06,06-07,02-07,03-10,Woodlands Ctr Rd
903M,SMRT,1,FEEDER,46009,46009,24,-,21-22,-,Marsiling Lane
904,SMRT,1,FEEDER,46009,46009,08-10,09-13,08-09,08-13,Woodlands Cres
911,SMRT,1,FEEDER,46009,46009,03-07,02-06,03-07,03-09,Woodlands Ave 2
911,SMRT,2,FEEDER,,,03-07,02-06,03-07,03-09,Woodlands Ave 2
911A,SMRT,1,FEEDER,46008,46589,-,-,8-18,4-19,Woodlands St 13
911T,SMRT,1,FEEDER,46008,46009,02-10,02-10,02-22,13-22,
912,SMRT,1,FEEDER,46009,46009,23-26,21-25,22-25,20-25,Woodlands Ave 7
912A,SMRT,1,FEEDER,46009,46008,05-06,07-09,05-08,06-10,Woodlands Ave 7
912B,SMRT,1,FEEDER,46008,46009,01-12,08-11,04-11,08-11,Woodlands Ctr Rd
912M,SMRT,1,FEEDER,46008,46009,20,-,20,-,Woodlands St 41
913,SMRT,1,FEEDER,46009,46009,03-07,02-07,02-07,03-10,Woodlands Circle
913M,SMRT,1,FEEDER,46008,46009,15-20,15-20,15-20,20,Woodlands St 13
913T,SMRT,1,FEEDER,46008,46009,02-10,03-14,03-14,02-15,
920,SMRT,1,FEEDER,45009,45009,07-10,08-12,06-08,07-12,Bangkit Rd
922,SMRT,1,FEEDER,45009,45009,06-08,06-10,06-07,07-11,Bangkit Rd
925,SMRT,1,TRUNK,47009,44009,05-10,09-15,11-14,12-13,
925,SMRT,2,TRUNK,44009,47009,09-12,08-15,08-12,12,
925A,SMRT,1,TRUNK,47009,49199,14-19,-,-,-,
925M,SMRT,1,TRUNK,47009,47009,10-11,10-12,10-13,13,Neo Tiew Cres
927,SMRT,1,TRUNK,44009,44009,13,12-17,13-14,13-18,Mandai Lake Rd
950,SMRT,1,TRUNK,47009,47009,11-12,09-13,11-13,11-12,Jln Jim Quee
951E,SMRT,1,EXPRESS,46449,03218,06-08,-,-,-,
951E,SMRT,2,EXPRESS,03222,46441,-,-,15,-,
960,SMRT,1,TRUNK,46009,02089,07-09,09-12,09-10,10-15,
960,SMRT,2,TRUNK,02101,46009,09-10,08-12,09-10,08-14,
960e,SMRT,1,EXPRESS,46009,02089,30-60,30-60,30-60,-,
960e,SMRT,2,EXPRESS,02101,46009,-,30,30,30,
961,SMRT,1,TRUNK,47009,80009,07-11,07-15,11-15,12-15,
961,SMRT,2,TRUNK,80009,47009,11-13,08-13,08-12,11-16,
961M,SMRT,1,TRUNK,47009,80009,12-14,10-12,11-14,14-15,
961M,SMRT,2,TRUNK,80009,47009,14,08-13,13-14,14-16,
962,SMRT,1,TRUNK,46009,46009,07-08,05-10,07-08,09-10,Admiralty St
