Line Name,Type,Sequence,Station Code,Station Name,Transfer,Build Start,Opening Date,Closed Date,Lantitude_x,Longitude_x,Others,Lantitude_y,Longitude_y
Circle Line,MRT,19,CC19/DT9,Botanic Gardens,Standard,,Before 2020,,,,,1.3222650000482246,103.81549999994174
Circle Line,MRT,20,CC20,Farrer Road,,,Before 2020,,,,,1.3174100000000002,103.80755
Circle Line,MRT,21,CC21,Holland Village,,,Before 2020,,,,,1.3124,103.79620000000001
Circle Line,MRT,22,CC22/EW21,Buona Vista,Standard,,Before 2020,,,,,1.3068650000089022,103.79029000003126
Circle Line,MRT,23,CC23,one-north,,,Before 2020,,,,,1.2993699999999997,103.78712
Circle Line,MRT,24,CC24,Kent Ridge,,,Before 2020,,,,,1.29372,103.78452
Circle Line,MRT,25,CC25,Haw Par Villa,,,Before 2020,,,,,1.28268,103.78175
Circle Line,MRT,26,CC26,Pasir Panjang,,,Before 2020,,,,,1.27619,103.79155
Circle Line,MRT,27,CC27,Labrador Park,,,Before 2020,,,,,1.2723199999999997,103.80278000000001
Circle Line,MRT,28,CC28,Telok Blangah,,,Before 2020,,,,,1.2706299999999995,103.80981
Circle Line,MRT,29,CC29/NE1,HarbourFront,Standard,,Before 2020,,,,,1.2653450000192066,103.82249499999442
Circle Line Extension,MRT,1,CC4/DT15,Promenade,Standard,,Before 2020,,,,,1.2926450000004035,103.86106499999993
Circle Line Extension,MRT,2,CE1/DT16,Bayfront,Standard,,Before 2020,,,,,1.2818100000001211,103.8590750000001
Circle Line Extension,MRT,3,CE2/NS27/TE20,Marina Bay,Standard,,Before 2020,,,,,1.2752500000492544,103.85519333344618
Downtown Line,MRT,1,DT1,Bukit Panjang,,,Before 2020,,,,,1.378230000059056,103.76256000006853
Downtown Line,MRT,2,DT2,Cashew,,,Before 2020,,,,,1.36955,103.76461
Downtown Line,MRT,3,DT3,Hillview,,,Before 2020,,,,,1.36265,103.76712
Downtown Line,MRT,4,DT4,Hume,,,None,,,,,,
Downtown Line,MRT,5,DT5,Beauty World,,,Before 2020,,,,,1.34132,103.776
Downtown Line,MRT,6,DT6,King Albert Park,,,Before 2020,,,,,1.33602,103.78357
Downtown Line,MRT,7,DT7,Sixth Avenue,,,Before 2020,,,,,1.3306900000000002,103.79721
Downtown Line,MRT,8,DT8,Tan Kah Kee,,,Before 2020,,,,,1.3260300000000003,103.807
Downtown Line,MRT,9,CC19/DT9,Botanic Gardens,Standard,,Before 2020,,,,,1.3222650000482246,103.81549999994174
Downtown Line,MRT,10,DT10/TE11,Stevens,Standard,,Before 2020,,,,,1.319770000010378,103.82576499997666
Downtown Line,MRT,11,DT11-NS21,Newton,Tap Out,,Before 2020,,,,,1.3131700000033948,103.8382700000221
Downtown Line,MRT,12,DT12/NE7,Little India,Standard,,Before 2020,,,,,1.3070350000183717,103.84944499996085
Downtown Line,MRT,13,DT13,Rochor,,,Before 2020,,,,,1.30399,103.85261
Downtown Line,MRT,14,DT14/EW12,Bugis,Standard,,Before 2020,,,,,1.300105000050039,103.85632500010036
Downtown Line,MRT,15,CC4/DT15,Promenade,Standard,,Before 2020,,,,,1.2926450000004035,103.86106499999993
Downtown Line,MRT,16,CE1/DT16,Bayfront,Standard,,Before 2020,,,,,1.2818100000001211,103.8590750000001
Downtown Line,MRT,17,DT17,Downtown,,,Before 2020,,,,,1.2794500000000002,103.85281
Downtown Line,MRT,18,DT18,Telok Ayer,,,Before 2020,,,,,1.28225,103.84849
Downtown Line,MRT,19,DT19/NE4,Chinatown,Standard,,Before 2020,,,,,1.2845600000131365,103.84364999996393
